Clapeyron Database File,,,,,,,,
PolynomialDiluteGas_viscosity Like Parameters,,,,,,,,
species,Mw,m0,m1,m2,m3,m4,source
"r1234zez~|~r1234ze(z)~|~cis-1,3,3,3-tetrafluoropropene~|~(z)-1,3,3,3-tetrafluoro-1-propene~|~(z)-1,3,3,3-tetrafluoroprop-1-ene",114.042,9.810939e-7,1.789431e-8,6.31732e-11,-1.101446e-13,6.19488e-17,10.1021/acs.jced.4c00451
"r124~|~1-chloro-1,2,2,2-tetrafluoroethane~|~2-chloro-1,1,1,2-tetrafluoroethane",136.47,8.868563e-7,2.338429e-8,8.451023e-11,-1.75485e-13,1.144382e-16,10.1021/acs.jced.4c00451
"r1243zf~|~3,3,3-trifluoropropene~|~3,3,3-trifluoro-1-propene~|~1,1,1-trifluoro-2-propene~|~3,3,3-trifluoropropylene (r1243zf)",96.05,1.019534e-6,2.226845e-8,8.299135e-11,-1.614206e-13,1.004061e-16,10.1021/acs.jced.4c00451
r125~|~pentafluoroethane,120.02,2.490051e-7,3.50188e-8,6.19198e-11,-1.53936e-13,1.066756e-16,10.1021/acs.jced.4c00451
r13~|~chlorotrifluoromethane,104.46,7.167216e-7,3.134369e-8,1.25246e-10,-3.44463e-13,2.89131e-16,10.1021/acs.jced.4c00451
"(2z)-1,1,1,4,4,4-hexafluorobut-2-ene~|~r1336mzzz",164.056,1.076017e-6,1.974467e-8,6.28816e-11,-1.03747e-13,5.47891e-17,10.1021/acs.jced.4c00451
"r134a~|~tetrafluoroethane~|~1,1,1,2-tetrafluoroethane",102.03,-1.766998e-7,4.267365e-8,-9.057271e-12,4.4985e-15,-1.269154e-18,10.1021/acs.jced.4c00451
r14~|~perfluoromethane~|~tetrafluoromethane~|~carbon tetrafluoride,88.004,-1.267878e-6,7.423255e-8,-4.313163e-11,1.153668e-15,1.57362e-17,10.1021/acs.jced.4c00451
"r141b~|~1,1-dichloro-1-fluoroethane",116.95,9.964938e-7,1.819019e-8,5.287627e-11,-8.268453e-14,4.111597e-17,10.1021/acs.jced.4c00451
"r142b~|~1-chloro-1,1-difluoroethane",100.49,8.022061e-7,2.10495e-8,7.530063e-11,-1.551479e-13,1.004221e-16,10.1021/acs.jced.4c00451
"r143a~|~1,1,1-trifluoroethane",84.04,6.066659e-7,2.70211e-8,5.372734e-11,-9.97909e-14,5.436539e-17,10.1021/acs.jced.4c00451
"dichloroethane~|~1,2-dichloroethane",98.959,1.224022e-6,1.751905e-8,4.482226e-11,-5.8651e-14,2.462412e-17,10.1021/acs.jced.4c00451
"r152a~|~difluoroethane~|~1,1-difluoroethane",66.05,1.030615e-6,1.993069e-8,5.96516e-11,-9.728077e-14,5.037542e-17,10.1021/acs.jced.4c00451
r161~|~fluoroethane~|~ethyl fluoride,48.059999999999995,1.13365e-7,3.43875e-8,-9.38042e-12,1.174026e-14,-6.965281e-18,10.1021/acs.jced.4c00451
r21~|~chfcl2~|~dichlorofluoromethane,102.92,1.313573e-6,2.302766e-8,7.436838e-11,-1.212232e-13,6.353354e-17,10.1021/acs.jced.4c00451
r218~|~perfluoropropane~|~octafluoropropane,188.01999999999998,9.354121e-7,2.48585e-8,9.566975e-11,-2.064725e-13,1.405451e-16,10.1021/acs.jced.4c00451
r22~|~chf2cl~|~chlorodifluoromethane~|~difluorochloromethane,86.47,9.177993e-7,2.677417e-8,8.158184e-11,-1.612226e-13,9.798157e-17,10.1021/acs.jced.4c00451
