T,p,eta,rho,shortref,DOI,state,s,eta_s
120,3.014,0.0001017,,Diller (1980),10.1016/0378-4371(80)90004-7,L,3.27009674589123,25.5793100532745
120,4.733,0.000103,,Diller (1980),10.1016/0378-4371(80)90004-7,L,3.29401933541513,25.9472115191847
120,6.489,0.0001055,,Diller (1980),10.1016/0378-4371(80)90004-7,L,3.31749068808283,26.618705183465
120,8.294,0.000109,,Diller (1980),10.1016/0378-4371(80)90004-7,L,3.34069226464854,27.5449604885684
120,10.066,0.000111,,Diller (1980),10.1016/0378-4371(80)90004-7,L,3.36263738785505,28.0924865890628
120,11.863,0.0001126,,Diller (1980),10.1016/0378-4371(80)90004-7,L,3.38412029759898,28.5397498605611
120,14.969,0.0001174,,Diller (1980),10.1016/0378-4371(80)90004-7,L,3.41959613434606,29.8303724426391
120,18.545,0.0001219,,Diller (1980),10.1016/0378-4371(80)90004-7,L,3.4581358772722,31.058911440443
120,22.889,0.0001269,,Diller (1980),10.1016/0378-4371(80)90004-7,L,3.50208163667564,32.4360599764132
120,26.094,0.000132,,Diller (1980),10.1016/0378-4371(80)90004-7,L,3.53274096736551,33.8159225848359
120,29.68,0.0001357,,Diller (1980),10.1016/0378-4371(80)90004-7,L,3.56547846709306,34.8488192110535
100,1.796,0.00016,,Diller (1980),10.1016/0378-4371(80)90004-7,L,3.94195592286726,47.714132056484
100,2.328,0.0001626,,Diller (1980),10.1016/0378-4371(80)90004-7,L,3.94770141763208,48.508272762822
100,3.304,0.0001616,,Diller (1980),10.1016/0378-4371(80)90004-7,L,3.95811274756043,48.2439071865868
100,4.525,0.0001647,,Diller (1980),10.1016/0378-4371(80)90004-7,L,3.9709100340244,49.2121601750677
100,5.898,0.0001693,,Diller (1980),10.1016/0378-4371(80)90004-7,L,3.98501150641914,50.6354000171966
100,7.383,0.0001695,,Diller (1980),10.1016/0378-4371(80)90004-7,L,3.99993563202918,50.7472380474798
100,9.411,0.000176,,Diller (1980),10.1016/0378-4371(80)90004-7,L,4.01979751418144,52.7657602150619
100,9.868,0.0001744,,Diller (1980),10.1016/0378-4371(80)90004-7,L,4.02419419062739,52.3020539838778
100,12.597,0.0001819,,Diller (1980),10.1016/0378-4371(80)90004-7,L,4.04987738675635,54.6493186580155
100,16.568,0.0001901,,Diller (1980),10.1016/0378-4371(80)90004-7,L,4.08562584511097,57.2574493349744
100,18.538,0.0001939,,Diller (1980),10.1016/0378-4371(80)90004-7,L,4.10270647758807,58.4732542389459
100,20.426,0.0001984,,Diller (1980),10.1016/0378-4371(80)90004-7,L,4.11869883176507,59.8990404402969
100,22.048,0.0002016,,Diller (1980),10.1016/0378-4371(80)90004-7,L,4.13215771209383,60.9243096005481
100,23.338,0.0002037,,Diller (1980),10.1016/0378-4371(80)90004-7,L,4.14268462657202,61.605922514469
100,24.053,0.0002056,,Diller (1980),10.1016/0378-4371(80)90004-7,L,4.14845384232468,62.2066257054361
100,25.265,0.0002068,,Diller (1980),10.1016/0378-4371(80)90004-7,L,4.15812952917541,62.6138295506915
100,26.879,0.0002107,,Diller (1980),10.1016/0378-4371(80)90004-7,L,4.17081785671657,63.8538826837112
100,27.666,0.0002121,,Diller (1980),10.1016/0378-4371(80)90004-7,L,4.176925753947,64.3069725659169
100,29.111,0.0002155,,Diller (1980),10.1016/0378-4371(80)90004-7,L,4.18800965234382,65.3911304086322
100,31.334,0.0002185,,Diller (1980),10.1016/0378-4371(80)90004-7,L,4.20474224403055,66.3834936614652
233.15,12.005,1.9332E-05,,Evers et al. (2002),10.1023/A:1020784330515,SCR,0.801396127473001,2.56915408991076
233.15,14.301,2.2679E-05,,Evers et al. (2002),10.1023/A:1020784330515,SCR,0.941153056625521,3.01794378964162
233.15,17.759,2.6631E-05,,Evers et al. (2002),10.1023/A:1020784330515,SCR,1.09874284913689,3.55515678425712
233.15,23.235,3.1278E-05,,Evers et al. (2002),10.1023/A:1020784330515,SCR,1.27622305359874,4.20273311746707
263.15,17.383,2.0308E-05,,Evers et al. (2002),10.1023/A:1020784330515,SCR,0.755776441296956,2.41231709654228
263.15,21.3,2.3547E-05,,Evers et al. (2002),10.1023/A:1020784330515,SCR,0.891894694431129,2.80930114933132
263.15,25.643,2.6568E-05,,Evers et al. (2002),10.1023/A:1020784330515,SCR,1.01437735897702,3.18287422506016
293.15,28.108,2.43E-05,,Evers et al. (2002),10.1023/A:1020784330515,SCR,0.840908840589639,2.6282722463035
293.15,28.246,2.438E-05,,Evers et al. (2002),10.1023/A:1020784330515,SCR,0.843908438480943,2.63729836411898
277.59,27.705,2.6417E-05,,Carmichael et al. (1965),10.1021/je60024a020,G,0.942773259236734,3.01163758752859
277.59,27.736,2.6429E-05,,Carmichael et al. (1965),10.1021/je60024a020,G,0.943485693477802,3.01309656250051
277.59,27.736,2.6446E-05,,Carmichael et al. (1965),10.1021/je60024a020,G,0.943485693477802,3.01503468507656
277.59,27.743,2.6436E-05,,Carmichael et al. (1965),10.1021/je60024a020,G,0.943646453360464,3.01391515721579
277.59,35.637,3.0814E-05,,Carmichael et al. (1965),10.1021/je60024a020,G,1.10262716716275,3.54139130184209
277.59,35.655,3.077E-05,,Carmichael et al. (1965),10.1021/je60024a020,G,1.10294661536306,3.53640088719405
277.59,35.671,3.0833E-05,,Carmichael et al. (1965),10.1021/je60024a020,G,1.10323043043937,3.54370064824903
310.93,34.576,2.6489E-05,,Carmichael et al. (1965),10.1021/je60024a020,G,0.857208866519655,2.72192407493336
310.93,34.613,2.6454E-05,,Carmichael et al. (1965),10.1021/je60024a020,G,0.857845248396582,2.71842966224437
310.93,34.645,2.6414E-05,,Carmichael et al. (1965),10.1021/je60024a020,G,0.858395157983903,2.71440732251909
310.93,35.187,2.6436E-05,,Carmichael et al. (1965),10.1021/je60024a020,G,0.867642956342355,2.71815357753298
310.93,35.211,2.6362E-05,,Carmichael et al. (1965),10.1021/je60024a020,G,0.868049583563312,2.71061017830793
